Date,Stock_Price,Strike_Price,Time_to_Maturity_Years,Risk_Free_Rate,Volatility,Call_Price,Put_Price,Delta_Call,Delta_Put,Gamma,Vega,Theta_Call,Theta_Put,Rho_Call,Rho_Put
2023-01-02,13.684309005737305,14.36852445602417,0.2465753424657534,0.0863,0.2772642375962316,0.6187589475265618,0.918490579091114,0.4647267650182032,-0.5352732349817968,0.2109193951111178,2.7002611220487647,-2.149646139460737,-0.6114016693575328,1.4155164759992551,-2.032603133198463
2023-01-03,13.33802318572998,14.00492434501648,0.2465753424657534,0.0863,0.2772642375962316,0.6031010542824617,0.8952478809602695,0.4647267650182032,-0.5352732349817968,0.2163953486819321,2.631930149948491,-2.0952486557575662,-0.5959299543927099,1.3796963784393588,-1.9811674602365337
2023-01-04,13.761924743652344,14.450020980834962,0.2465753424657534,0.0863,0.2772642375962316,0.6222684730922046,0.9237001460509288,0.4647267650182032,-0.5352732349817968,0.209729832982485,2.715576675027233,-2.161838671162594,-0.6148694653353769,1.4235451134532555,-2.0441318111905686
2023-01-05,14.25747299194336,14.970346641540528,0.2465753424657534,0.0863,0.2772642375962316,0.6446755169869771,0.9569613357353745,0.4647267650182032,-0.5352732349817968,0.2024402346499076,2.8133609086628946,-2.239683550170273,-0.6370100809941799,1.4748050426038184,-2.1177382257859296
2023-01-06,14.173888206481934,14.882582616806031,0.2465753424657534,0.0863,0.2772642375962316,0.6408960909407178,0.9513511264095332,0.4647267650182032,-0.5352732349817968,0.2036340442338039,2.796867511262876,-2.2265533503692105,-0.6332755937546282,1.4661589618324833,-2.1053229334430434
2023-01-09,14.251505851745604,14.964081144332887,0.2465753424657534,0.0863,0.2772642375962316,0.6444057027503245,0.9565608213905534,0.4647267650182032,-0.5352732349817968,0.2025249968690294,2.8121834406095894,-2.238746181693404,-0.6367434749509614,1.4741877965842367,-2.1168518947437773
2023-01-10,14.382856369018556,15.101999187469485,0.2465753424657534,0.0863,0.2772642375962316,0.6503449363492448,0.9653770657930556,0.4647267650182032,-0.5352732349817968,0.2006754502687623,2.838102227959717,-2.259379823644457,-0.6426120888135969,1.487774804978517,-2.1363620850532987
2023-01-11,14.496292114257812,15.221106719970704,0.2465753424657534,0.0863,0.2772642375962316,0.6554741235304693,0.9729908710126516,0.4647267650182032,-0.5352732349817968,0.1991051335923984,2.860485976572217,-2.277199262808553,-0.6476802880171533,1.4995086942297833,-2.1532112990759686
2023-01-12,14.705257415771484,15.44052028656006,0.2465753424657534,0.0863,0.2772642375962316,0.6649228395730518,0.9870166183643638,0.4647267650182032,-0.5352732349817968,0.1962758009872152,2.9017201287166907,-2.310025286650296,-0.6570166552483883,1.521124241429188,-2.184250025723282
2023-01-13,14.669434547424316,15.402906274795534,0.2465753424657534,0.0863,0.2772642375962316,0.6633030485915272,0.9846121880727736,0.4647267650182032,-0.5352732349817968,0.1967551079540767,2.8946513685302926,-2.304397929754554,-0.6554161241949423,1.5174186936852934,-2.1789290647297763
2023-01-16,14.35300350189209,15.070653676986694,0.2465753424657534,0.0863,0.2772642375962316,0.6489950889703175,0.9633733418780944,0.4647267650182032,-0.5352732349817968,0.2010928359087523,2.8322115003789907,-2.2546902846590884,-0.6412782916311031,1.4846867992008337,-2.131927880064887
2023-01-17,15.236631393432615,15.998462963104249,0.2465753424657534,0.0863,0.2772642375962316,0.6889498038152908,1.0226824303722122,0.4647267650182032,-0.5352732349817968,0.1894307280576334,3.0065736870911173,-2.39349797198722,-0.6807579297883712,1.5760900142702747,-2.2631778262750903
2023-01-18,14.967960357666016,15.716358375549316,0.2465753424657534,0.0863,0.2772642375962316,0.6768013930148538,1.004649235190577,0.4647267650182032,-0.5352732349817968,0.1928309608680577,2.9535580797851906,-2.35129287017474,-0.6687539681921483,1.5482984555155024,-2.223270689650953
2023-01-19,15.457537651062012,16.230414533615114,0.2465753424657534,0.0863,0.2772642375962316,0.6989384501850475,1.0375096544877902,0.4647267650182029,-0.535273234981797,0.1867235418187987,3.050164092631057,-2.4281997814608767,-0.6906278073707539,1.5989407440509769,-2.295990206586908
2023-01-20,15.744121551513672,16.531327629089358,0.2465753424657534,0.0863,0.2772642375962316,0.7118968211592174,1.0567451608311274,0.4647267650182029,-0.535273234981797,0.1833246884279955,3.1067143623063664,-2.47321878643798,-0.7034320984075664,1.628585224651011,-2.338558036189269
2023-01-23,15.994878768920898,16.794622707366944,0.2465753424657534,0.0863,0.2772642375962316,0.723235228663941,1.073575980840456,0.4647267650182032,-0.5352732349817968,0.1804506442156959,3.156195119058789,-2.5126098352746715,-0.7146356879539562,1.6545237629116465,-2.3758043381808664
2023-01-24,15.881441116333008,16.67551317214966,0.2465753424657534,0.0863,0.2772642375962316,0.7181059552387534,1.0659620475996563,0.4647267650182029,-0.535273234981797,0.1817395636114773,3.133810994078044,-2.49479009648824,-0.7095674035319095,1.6427896763626264,-2.35895484084957
2023-01-25,16.084436416625977,16.888658237457275,0.2465753424657534,0.0863,0.2772642375962316,0.7272847276787422,1.0795870885747352,0.4647267650182036,-0.5352732349817964,0.1794459005738162,3.173867113616846,-2.5266783024196107,-0.7186370368921942,1.6637876815958224,-2.3891068114917866
2023-01-26,15.672475814819336,16.456099605560304,0.2465753424657534,0.0863,0.2772642375962316,0.708657239196171,1.0519363002479416,0.4647267650182032,-0.5352732349817968,0.1841627457018989,3.09257684193357,-2.4619640726464973,-0.7002310363006752,1.621174129163223,-2.327916114202256
2023-01-27,15.296335220336914,16.06115198135376,0.2465753424657534,0.0863,0.2772642375962316,0.6916494123291832,1.0266897501809282,0.4647267650182032,-0.5352732349817968,0.1886913523028924,3.0183547658843257,-2.4028767503356225,-0.68342543893487,1.5822658285278894,-2.2720459529432864
2023-01-30,15.373950958251951,16.14264850616455,0.2465753424657534,0.0863,0.2772642375962316,0.695158937894826,1.0318993171407431,0.4647267650182032,-0.5352732349817968,0.187738739758014,3.0336703188627947,-2.4150692820374795,-0.6868932349127139,1.59029446598189,-2.283574630935392
2023-01-31,15.565007209777832,16.343257570266726,0.2465753424657534,0.0863,0.2772642375962316,0.7037978662515991,1.0447230093731683,0.4647267650182029,-0.535273234981797,0.1854342975305908,3.0713705613743745,-2.4450820019592703,-0.6954294431403361,1.610057485931537,-2.311953231221739
2023-02-01,15.350067138671877,16.11757049560547,0.2465753424657534,0.0863,0.2772642375962316,0.6940789909965144,1.0302962355918073,0.4647267650182032,-0.5352732349817968,0.1880308504144733,3.0289574357036178,-2.411317411151316,-0.6858261289919274,1.587823903521541,-2.2800270402977603
2023-02-02,14.6395845413208,15.371563768386842,0.2465753424657534,0.0863,0.2772642375962316,0.6619533305785437,0.9826086561896208,0.4647267650182032,-0.5352732349817968,0.197156290184129,2.888761205501933,-2.2997088402026886,-0.6540824548401819,1.5143309838542387,-2.174495284704306
2023-02-03,14.800785064697266,15.54082431793213,0.2465753424657534,0.0863,0.2772642375962316,0.6692422821904476,0.9934284324752758,0.4647267650182032,-0.5352732349817968,0.195008992116782,2.92057015588042,-2.325031571705608,-0.6612847380575777,1.531005702079574,-2.1984392550392977
2023-02-06,15.391862869262695,16.161456012725832,0.2465753424657534,0.0863,0.2772642375962316,0.6959688549465772,1.0331015642918402,0.4647267650182029,-0.535273234981797,0.1875202633053339,3.037204793048055,-2.417883035390934,-0.6876935217440587,1.5921472891782744,-2.286235182259304
2023-02-07,15.296335220336914,16.06115198135376,0.2465753424657534,0.0863,0.2772642375962316,0.6916494123291832,1.0266897501809282,0.4647267650182032,-0.5352732349817968,0.1886913523028924,3.0183547658843257,-2.4028767503356225,-0.68342543893487,1.5822658285278894,-2.2720459529432864
2023-02-08,15.553065299987791,16.330718564987183,0.2465753424657534,0.0863,0.2772642375962316,0.7032578928024451,1.0439214685987004,0.4647267650182032,-0.5352732349817968,0.1855766771586819,3.069014119794786,-2.443206066516189,-0.694895890179944,1.6088222047013638,-2.310179435902921
2023-02-09,15.481420516967772,16.255491542816163,0.2465753424657534,0.0863,0.2772642375962316,0.7000183539613785,1.0391126720261197,0.4647267650182032,-0.5352732349817968,0.1864354872888013,3.054876787606112,-2.4319515025358736,-0.691694870682297,1.6014112078624507,-2.299537655570224
2023-02-10,15.953086853027344,16.75074119567871,0.2465753424657534,0.0863,0.2772642375962316,0.7213455372018025,1.0707709081828387,0.4647267650182036,-0.5352732349817964,0.1809233664051679,3.147948514450841,-2.5060448102797244,-0.7127684656388029,1.650200771850418,-2.36959676283658
2023-02-13,16.000850677490234,16.80089321136475,0.2465753424657534,0.0863,0.2772642375962316,0.7235052585104995,1.073976815238293,0.4647267650182029,-0.535273234981797,0.1803832956246582,3.157373528032705,-2.51354795280738,-0.7149025070433963,1.655141502175609,-2.3766913774945904
2023-02-14,15.94114589691162,16.738203191757204,0.2465753424657534,0.0863,0.2772642375962316,0.7208056068746265,1.0699694314189738,0.4647267650182029,-0.535273234981797,0.1810588897855148,3.145592261055374,-2.504169024647809,-0.7122349552876528,1.6489655892691173,-2.36782310917208
2023-02-15,15.96502685546875,16.763278198242187,0.2465753424657534,0.0863,0.2772642375962316,0.7218854244069952,1.0715723209360988,0.4647267650182036,-0.5352732349817964,0.180788056552191,3.1503045796621847,-2.5079204461004707,-0.7133019333807071,1.65143585578284,-2.371370274846768
2023-02-16,16.030702590942383,16.832237720489502,0.2465753424657534,0.0863,0.2772642375962316,0.7248550627674462,1.07598047514265,0.4647267650182032,-0.5352732349817968,0.1800473910379033,3.163264067429309,-2.5182373419815813,-0.7162362616166469,1.658229409304417,-2.381125440828686
2023-02-17,15.785914421081545,16.57521014213562,0.2465753424657534,0.0863,0.2772642375962316,0.7137865557433383,1.0595502974993494,0.4647267650182032,-0.5352732349817968,0.1828393402506477,3.1149611550984373,-2.479783961244096,-0.7052993633319657,1.6329083143611178,-2.344765753187867
2023-02-22,15.379921913146973,16.148918008804323,0.2465753424657534,0.0863,0.2772642375962316,0.6954289246194048,1.0323000875279753,0.4647267650182032,-0.5352732349817968,0.1876658538517348,3.034848539652589,-2.4160072497590206,-0.6871600113929108,1.5909121065969771,-2.2844615285948
2023-02-23,15.85158920288086,16.644168663024903,0.2465753424657534,0.0863,0.2772642375962316,0.7167561509818077,1.0639583876952976,0.4647267650182032,-0.5352732349817968,0.1820818178583117,3.12792045468144,-2.49010070731404,-0.7082336489586609,1.63970176923382,-2.354520777515471
2023-02-24,15.463509559631348,16.236685037612915,0.2465753424657534,0.0863,0.2772642375962316,0.699208480031607,1.0379104888856254,0.4647267650182032,-0.5352732349817968,0.1866514303802418,3.051342501604974,-2.429137898993586,-0.6908946264601958,1.5995584833149414,-2.296877245900628
2023-02-27,15.61276912689209,16.393407583236694,0.2465753424657534,0.0863,0.2772642375962316,0.7059575013163366,1.0479287884074149,0.4647267650182032,-0.5352732349817968,0.184867024840089,3.0807951985879947,-2.4525848448645915,-0.6975633993264427,1.6149980189589788,-2.319047562571117
2023-02-28,15.06945514678955,15.82292790412903,0.2465753424657534,0.0863,0.2772642375962316,0.6813906498689022,1.011461563646309,0.4647267650182032,-0.5352732349817968,0.1915322186428643,2.973585575002225,-2.367236523706921,-0.6732886570445561,1.5587971621854702,-2.2383462500091214
2023-03-01,15.105280876159668,15.860544919967651,0.2465753424657534,0.0863,0.2772642375962316,0.6830105702163705,1.0138661859697091,0.4647267650182032,-0.5352732349817968,0.1910779548998057,2.98065489974099,-2.3728643300361663,-0.6748893159257359,1.562503005875994,-2.243667635965569
2023-03-02,14.71122932434082,15.446790790557865,0.2465753424657534,0.0863,0.2772642375962316,0.6651928694196103,0.9874174527622016,0.4647267650182032,-0.5352732349817968,0.1961961243597881,2.902898537690608,-2.3109634041830045,-0.6572834743378294,1.5217419806931518,-2.185137065037004
2023-03-03,15.34409999847412,16.111304998397827,0.2465753424657534,0.0863,0.2772642375962316,0.6938091767598618,1.0298957212469873,0.4647267650182032,-0.5352732349817968,0.1881039734028556,3.0277799676503125,-2.410380042674446,-0.6855595229487095,1.587206657501959,-2.279140709255608
2023-03-06,15.499327659606934,16.274294042587282,0.2465753424657534,0.0863,0.2772642375962316,0.7008280554032238,1.040314599124203,0.4647267650182029,-0.535273234981797,0.1862200891155901,3.0584103208707605,-2.4347645068334884,-0.6924949444674182,1.603263537814453,-2.302197498622565
2023-03-07,14.985870361328123,15.735163879394532,0.2465753424657534,0.0863,0.2772642375962316,0.6776112238226437,1.005851354320468,0.4647267650182032,-0.5352732349817968,0.1926005035684785,2.957092177602206,-2.354106323905859,-0.6695541698050046,1.550151081414135,-2.225930957666235
