Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2023-01-02,13.684309005737305,14.215680149817864,13.612662908025634,14.054478422824765,78424700
2023-01-03,13.33802318572998,13.79177880814486,13.212642788290092,13.696251428560274,96750300
2023-01-04,13.761924743652344,14.084330479312506,13.03352824502265,13.111143807991148,129504000
2023-01-05,14.25747299194336,14.353001500206993,13.821629226309353,13.935068404616858,73886000
2023-01-06,14.173888206481934,14.520175239238315,14.060449017144583,14.293297999339796,51851500
2023-01-09,14.251505851745605,14.329121425069847,13.881336380536414,14.03059806204756,46385200
2023-01-10,14.382856369018555,14.394797577383331,13.952983116873424,14.299270188017745,52741100
2023-01-11,14.496292114257812,14.699288052948917,14.358970528360157,14.418675417170958,53536500
2023-01-12,14.705257415771484,14.717198621206705,14.39479404588791,14.502262617252851,58130000
2023-01-13,14.669434547424316,14.723168831675219,14.478379820654887,14.591818991715236,40002700
2023-01-16,14.35300350189209,14.62764444277653,14.227623100218938,14.573910147598925,31973700
2023-01-17,15.236631393432617,15.296336288586463,14.39479567421425,14.39479567421425,91797500
2023-01-18,14.967960357666016,15.541125773055617,14.926167271509977,15.427686582934808,69692900
2023-01-19,15.457537651062012,15.493361270553178,14.800787236589775,14.926166488480469,75553300
2023-01-20,15.744121551513672,15.881442015469583,15.176926746441975,15.457538277844423,114219500
2023-01-23,15.994878768920898,16.47848619026779,15.600826969969502,15.684414267335436,87678100
2023-01-24,15.881441116333008,16.43669468298746,15.744120660151573,16.400871064071872,65794000
2023-01-25,16.084436416625977,16.168022579822967,15.529182872472107,15.85158745821483,51832900
2023-01-26,15.672475814819336,16.23967063315185,15.403804345340523,16.17399513199565,73344800
2023-01-27,15.296335220336914,15.660532891666216,15.188866644320502,15.630681015562136,47681900
2023-01-30,15.373950958251953,15.565005700577512,15.230659901507785,15.433655849922713,40683200
2023-01-31,15.565007209777832,15.64859338295585,15.236631981913165,15.302306344220378,54048900
2023-02-01,15.350067138671875,15.809793281976905,15.1948360288471,15.565004273469237,56349200
2023-02-02,14.6395845413208,15.409774149228117,14.579879646893406,15.230660604722082,83823000
2023-02-03,14.800785064697266,15.153041494460654,14.579877332022635,14.65152342171537,71170700
2023-02-06,15.391862869262695,15.445597158244428,14.776904416902894,14.84855051513724,82794500
2023-02-07,15.296335220336914,15.60679860365801,15.200806711496488,15.469478151537517,55311800
2023-02-08,15.553065299987793,15.612770194750695,15.260512568303346,15.403803632468618,48713100
2023-02-09,15.481420516967773,15.714268356591711,15.397834346595317,15.553065480493833,38198300
2023-02-10,15.953086853027344,15.994881077129603,15.481420568777795,15.511272447217527,54683100
2023-02-13,16.000850677490234,16.054584970158377,15.744121559913332,15.935176316610644,36726900
2023-02-14,15.941145896911621,16.1560819150122,15.881441004581863,16.030702666018204,35839000
2023-02-15,15.96502685546875,16.000849334649118,15.70232601766853,15.86949948513705,72554100
2023-02-16,16.030702590942383,16.09040748299253,15.815765435072304,15.881440930205072,44115700
2023-02-17,15.785914421081543,15.923234883157699,15.744121335995422,15.923234883157699,61085700
2023-02-22,15.379921913146973,15.588888469387166,15.338128829654156,15.523212973169246,38608500
2023-02-23,15.85158920288086,15.994881410955466,15.38589351235505,15.38589351235505,73913400
2023-02-24,15.463509559631348,15.941147610847247,15.44559888715,15.923235799589674,64409100
2023-02-27,15.61276912689209,15.965026729246254,15.409773181848125,15.427684990684735,76250600
2023-02-28,15.06945514678955,16.072493557051693,15.069455146789553,15.648589904220836,130248100
2023-03-01,15.105280876159668,15.182897583958017,14.442559821351438,15.111251479742325,109257700
2023-03-02,14.71122932434082,15.326187793529597,14.550027591760262,15.1769261286681,124516200
2023-03-03,15.344099998474121,15.367981273303458,14.59779165494476,14.824668890316175,87591800
2023-03-06,15.499327659606934,15.594856153852225,15.147071248048508,15.344096561051108,50227400
2023-03-07,14.985870361328125,15.391862244362157,14.884372390569617,15.356038627311353,59052500
2023-03-08,15.176925659179688,15.475448979668055,15.003781586683909,15.015722792809704,66220400
2023-03-09,15.111248970031738,15.660531881871908,15.093338301034604,15.13513138039592,68042300
2023-03-10,14.914226531982422,15.272454785485195,14.890345255762892,15.021695121910877,48118600
2023-03-13,14.442560195922852,14.842581536125984,14.38882590106152,14.65749623659196,58605500
2023-03-14,14.18582820892334,14.764963035921108,14.090300838259296,14.49629273296952,58916700
2023-03-15,13.935068130493164,14.018654292456498,13.612662410732796,13.929097527670633,93708800
2023-03-16,13.887303352355957,14.042535597181159,13.71415930047463,13.970889507732618,66821000
2023-03-17,14.036567687988281,14.036567687988281,13.64848757085335,13.791778638467347,93502700
2023-03-20,13.690281867980957,14.120155108861411,13.666399451877236,14.036568930050947,57575200
2023-03-21,13.970891952514648,14.090301742899214,13.779837198920273,13.851483300906242,43391200
2023-03-22,13.929098129272461,14.102242202275852,13.755955195045171,13.964920608978781,46435600
2023-03-23,13.612661361694336,14.132092379464885,13.48728212841149,13.95297886369626,74711200
2023-03-24,13.606693267822266,13.809688074699014,13.421607992283702,13.558928444114708,52556800
2023-03-27,13.839543342590332,13.947011935876047,13.630576759954357,13.797750253818387,39148700
2023-03-28,14.084331512451172,14.114183391449702,13.821630649914585,13.863423736023003,29091100
2023-03-29,14.269414901733398,14.353002208240428,14.01268465653005,14.155975717829937,49148600
2023-03-30,14.31120777130127,14.49629305247125,14.138064835197614,14.47838124303593,56116900
2023-03-31,14.000744819641113,14.460469888515831,13.857452617202908,14.329120031519647,59547800
2023-04-03,14.621673583984375,14.627644187652889,14.209711041066607,14.382855131124876,73931200
2023-04-04,14.490324020385742,14.78287677355826,14.388826033466604,14.705260063032677,57505700
2023-04-05,14.538084983825684,14.64555355437041,13.893274699333354,14.442557618625045,93626400
2023-04-06,14.329122543334961,14.579882233394375,14.299270660213551,14.532118537134313,29565400
2023-04-10,14.633613586425781,14.723170356527184,14.347031466590847,14.347031466590847,41455900
2023-04-11,15.320218086242676,15.344100500629754,14.705259581089747,14.747053806267136,80565000
2023-04-12,15.433656692504883,15.612770238519563,15.033635376881021,15.511272258770937,71563400
2023-04-13,15.541123390197754,15.57694586729953,15.403801806884925,15.433654820116416,38852800
2023-04-14,15.702327728271484,15.762032625927036,15.356040688400725,15.403804378769925,38421100
